Model,Rate,Type,Task,Language
GPT-4o,81.53846153846153,Ready-to-Use Rate,Scheduled Plans,Chinese
gpt-3.5-16k,9.230769230769232,Ready-to-Use Rate,Scheduled Plans,Chinese
GPT-4o-mini,43.93939393939394,Ready-to-Use Rate,Scheduled Plans,Chinese
Gemini,24.242424242424242,Ready-to-Use Rate,Scheduled Plans,Chinese
Llama,0.0,Ready-to-Use Rate,Scheduled Plans,Chinese
Copilot,31.818181818181817,Ready-to-Use Rate,Scheduled Plans,Chinese
GPT-4o,90.76923076923077,Compile Rate,Scheduled Plans,Chinese
gpt-3.5-16k,13.846153846153847,Compile Rate,Scheduled Plans,Chinese
GPT-4o-mini,69.6969696969697,Compile Rate,Scheduled Plans,Chinese
Gemini,45.45454545454545,Compile Rate,Scheduled Plans,Chinese
Llama,0.0,Compile Rate,Scheduled Plans,Chinese
Copilot,69.6969696969697,Compile Rate,Scheduled Plans,Chinese
GPT-4o,57.14285714285714,Ready-to-Use Rate,Energy Efficient Home,Chinese
gpt-3.5-16k,0.0,Ready-to-Use Rate,Energy Efficient Home,Chinese
GPT-4o-mini,28.57142857142857,Ready-to-Use Rate,Energy Efficient Home,Chinese
Gemini,14.285714285714285,Ready-to-Use Rate,Energy Efficient Home,Chinese
Llama,0.0,Ready-to-Use Rate,Energy Efficient Home,Chinese
Copilot,9.523809523809524,Ready-to-Use Rate,Energy Efficient Home,Chinese
GPT-4o,80.95238095238095,Compile Rate,Energy Efficient Home,Chinese
gpt-3.5-16k,52.38095238095239,Compile Rate,Energy Efficient Home,Chinese
GPT-4o-mini,85.71428571428571,Compile Rate,Energy Efficient Home,Chinese
Gemini,42.857142857142854,Compile Rate,Energy Efficient Home,Chinese
Llama,0.0,Compile Rate,Energy Efficient Home,Chinese
Copilot,23.809523809523807,Compile Rate,Energy Efficient Home,Chinese
GPT-4o,69.56521739130434,Ready-to-Use Rate,Remote Device Control,Chinese
GPT-4o-mini,52.17391304347826,Ready-to-Use Rate,Remote Device Control,Chinese
Gemini,17.391304347826086,Ready-to-Use Rate,Remote Device Control,Chinese
Llama,0.0,Ready-to-Use Rate,Remote Device Control,Chinese
Copilot,39.130434782608695,Ready-to-Use Rate,Remote Device Control,Chinese
gpt-3.5-16k,34.78260869565217,Ready-to-Use Rate,Remote Device Control,Chinese
GPT-4o,91.30434782608695,Compile Rate,Remote Device Control,Chinese
GPT-4o-mini,82.6086956521739,Compile Rate,Remote Device Control,Chinese
Gemini,47.82608695652174,Compile Rate,Remote Device Control,Chinese
Llama,0.0,Compile Rate,Remote Device Control,Chinese
Copilot,56.52173913043478,Compile Rate,Remote Device Control,Chinese
gpt-3.5-16k,69.56521739130434,Compile Rate,Remote Device Control,Chinese
GPT-4o,60.256410256410255,Ready-to-Use Rate,Comfort Home,Chinese
gpt-3.5-16k,0.0,Ready-to-Use Rate,Comfort Home,Chinese
GPT-4o-mini,17.94871794871795,Ready-to-Use Rate,Comfort Home,Chinese
Gemini,6.41025641025641,Ready-to-Use Rate,Comfort Home,Chinese
Llama,0.0,Ready-to-Use Rate,Comfort Home,Chinese
Copilot,0.0,Ready-to-Use Rate,Comfort Home,Chinese
GPT-4o,87.17948717948718,Compile Rate,Comfort Home,Chinese
gpt-3.5-16k,32.05128205128205,Compile Rate,Comfort Home,Chinese
GPT-4o-mini,78.2051282051282,Compile Rate,Comfort Home,Chinese
Gemini,41.02564102564102,Compile Rate,Comfort Home,Chinese
Llama,0.0,Compile Rate,Comfort Home,Chinese
Copilot,11.538461538461538,Compile Rate,Comfort Home,Chinese
