Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path,language
,openai_gpt-4o,auto_adapt,15.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_15.log,ZH
,openai_gpt-4o,auto_adapt,14.0,0.6667,No Error & Warning,"['/Actuator/AC/LivingRoom/1 || /Actuator/Heater/LivingRoom/1', '/Actuator/Humidifier/LivingRoom/1', '/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2']",/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_14.log,ZH
,openai_gpt-4o,auto_adapt,16.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_16.log,ZH
,openai_gpt-4o,auto_adapt,17.0,0.5,No Error & Warning,['use 1 sensor reading to trigger all related devices'],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_17.log,ZH
,openai_gpt-4o,auto_adapt,13.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_13.log,ZH
,openai_gpt-4o,auto_adapt,12.0,0.5556,No Error & Warning,"['/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_12.log,ZH
,openai_gpt-4o,auto_adapt,8.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_8.log,ZH
,openai_gpt-4o,auto_adapt,10.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_10.log,ZH
,openai_gpt-4o,auto_adapt,11.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_11.log,ZH
,openai_gpt-4o,auto_adapt,9.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_9.log,ZH
,openai_gpt-4o,auto_adapt,4.0,0.0,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_4.log,ZH
,openai_gpt-4o,auto_adapt,20.0,1.0,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gpt4o_functions/openai_gpt-4o_auto_adapt_20.log,ZH
