TASK_NAME,INDEX,OUTPUT,RATE_LIMIT_ERROR
remote_control,14,PYTHON,True
remote_control,13,PYTHON,True
remote_control,25,NONE,True
remote_control,22,NONE,True
remote_control,23,NONE,True
remote_control,24,NONE,True
remote_control,12,NONE,True
remote_control,15,NONE,True
remote_control,3,NONE,True
remote_control,4,NONE,True
remote_control,5,NONE,False
remote_control,2,JSON,False
remote_control,10,NONE,True
remote_control,17,PYTHON,True
remote_control,21,NONE,True
remote_control,19,PYTHON,True
remote_control,26,JSON,False
remote_control,18,PYTHON,True
remote_control,20,PYTHON,True
remote_control,16,NONE,True
remote_control,11,JSON,False
remote_control,9,NONE,False
remote_control,7,NONE,True
remote_control,1,NONE,False
remote_control,6,JSON,False
remote_control,8,JSON,False
auto_adapt,1,NONE,False
auto_adapt,6,NONE,False
auto_adapt,8,JSON,False
auto_adapt,9,NONE,False
auto_adapt,7,NONE,False
auto_adapt,23,NONE,False
auto_adapt,24,PYTHON,False
auto_adapt,12,NONE,True
auto_adapt,15,NONE,False
auto_adapt,14,NONE,False
auto_adapt,13,JSON,False
auto_adapt,25,PYTHON,False
auto_adapt,22,BOTH,False
auto_adapt,5,PYTHON,False
auto_adapt,2,NONE,False
auto_adapt,3,PYTHON,False
auto_adapt,4,PYTHON,False
auto_adapt,18,JSON,False
auto_adapt,20,NONE,False
auto_adapt,16,NONE,True
auto_adapt,11,NONE,False
auto_adapt,10,PYTHON,True
auto_adapt,17,NONE,True
auto_adapt,21,NONE,False
auto_adapt,19,NONE,False
auto_adapt,26,PYTHON,False
plan,25,PYTHON,False
plan,22,JSON,False
plan,5,JSON,False
plan,14,NONE,False
plan,13,NONE,False
plan,2,NONE,False
plan,3,JSON,False
plan,12,NONE,False
plan,15,NONE,False
plan,4,NONE,False
plan,23,NONE,False
plan,24,NONE,False
plan,21,NONE,False
plan,19,NONE,False
plan,8,NONE,False
plan,26,NONE,True
plan,10,JSON,False
plan,1,JSON,False
plan,6,PYTHON,False
plan,17,JSON,False
plan,16,PYTHON,True
plan,7,JSON,False
plan,11,JSON,False
plan,9,NONE,False
plan,18,JSON,False
plan,20,PYTHON,True
energy_control,20,PYTHON,False
energy_control,18,JSON,False
energy_control,11,NONE,False
energy_control,16,NONE,False
energy_control,1,NONE,True
energy_control,6,JSON,False
energy_control,8,PYTHON,True
energy_control,17,NONE,False
energy_control,10,JSON,False
energy_control,19,BOTH,False
energy_control,26,NONE,True
energy_control,21,JSON,False
energy_control,9,PYTHON,True
energy_control,7,NONE,True
energy_control,5,NONE,False
energy_control,2,PYTHON,True
energy_control,24,JSON,False
energy_control,23,JSON,False
energy_control,15,JSON,False
energy_control,12,NONE,True
energy_control,3,PYTHON,True
energy_control,4,NONE,False
energy_control,13,JSON,False
energy_control,14,PYTHON,True
energy_control,22,NONE,True
energy_control,25,NONE,False
