Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1734100377330416000,openai_gpt-4o,auto_adapt,16,1.00,No Error & Warning,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_16_1734100377330416000.log
1734100133577731000,openai_gpt-4o,auto_adapt,1,0.89,No Error & Warning,['/Actuator/Humidifier/LivingRoom/1'],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_1_1734100133577731000.log
1734100167175709000,openai_gpt-4o,auto_adapt,23,0.89,No Error & Warning,['/Actuator/Humidifier/LivingRoom/1'],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_23_1734100167175709000.log
1734099635393156000,openai_gpt-4o,auto_adapt,8,0.00,Error,,/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_8_1734099635393156000.log
1734099991294080000,openai_gpt-4o,auto_adapt,19,0.70,No Error & Warning,"['/Actuator/Humidifier/LivingRoom/1', '/Actuator/Light/LivingRoom/1', '/Actuator/Light/LivingRoom/2']",/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_19_1734099991294080000.log
1734100305915417000,openai_gpt-4o,auto_adapt,26,0.89,No Error & Warning,['/Sensor/LightIntensive/LivingRoom/1 reading is:'],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_26_1734100305915417000.log
1734099925132518000,openai_gpt-4o,auto_adapt,3,0.89,No Error & Warning,['/Sensor/LightIntensive/LivingRoom/1 reading is:'],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_3_1734099925132518000.log
1734100233850054000,openai_gpt-4o,auto_adapt,13,1.00,No Error & Warning,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_13_1734100233850054000.log
1734099669937219000,openai_gpt-4o,auto_adapt,20,1.00,Timeout,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_20_1734099669937219000.log
1734100104133734000,openai_gpt-4o,auto_adapt,5,0.00,Error,,/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_5_1734100104133734000.log
1734100267609513000,openai_gpt-4o,auto_adapt,12,1.00,No Error & Warning,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_12_1734100267609513000.log
1734099704418028000,openai_gpt-4o,auto_adapt,14,1.00,No Error & Warning,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_14_1734099704418028000.log
1734099815830288000,openai_gpt-4o,auto_adapt,24,0.89,Timeout,['/Actuator/Humidifier/LivingRoom/1'],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_24_1734099815830288000.log
1734100031541022000,openai_gpt-4o,auto_adapt,4,1.00,No Error & Warning,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_4_1734100031541022000.log
1734099780240801000,openai_gpt-4o,auto_adapt,10,1.00,No Error & Warning,[],/Users/minghe/llm4faas/experiments_baseline_v2/baseline_v2_functions_zh/auto_adapt/openai_gpt-4o_auto_adapt_10_1734099780240801000.log
