Error: Execution timed out
Standard Output:
'/Sensor/IndoorTemperature/LivingRoom/1' is now ON.
/Sensor/IndoorTemperature/LivingRoom/1 reading is: 33.06
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
'/Sensor/IndoorTemperature/Bedroom/1' is now ON.
/Sensor/IndoorTemperature/Bedroom/1 reading is: 39.35
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
'/Sensor/IndoorTemperature/Bathroom/1' is now ON.
/Sensor/IndoorTemperature/Bathroom/1 reading is: 37.11
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
'/Sensor/Humidity/LivingRoom/1' is now ON.
/Sensor/Humidity/LivingRoom/1 reading is: 16.21
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Bedroom/1' is now ON.
/Sensor/Humidity/Bedroom/1 reading is: 27.24
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Kitchen/1' is now ON.
/Sensor/Humidity/Kitchen/1 reading is: 26.97
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Bathroom/1' is now ON.
/Sensor/Humidity/Bathroom/1 reading is: 21.82
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Balcony/1' is now ON.
/Sensor/Humidity/Balcony/1 reading is: 18.31
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/LightIntensive/LivingRoom/1' is now ON.
/Sensor/LightIntensive/LivingRoom/1 reading is: 958.74
/Actuator/Curtain/LivingRoom/1 is turned on.
/Actuator/Curtain/Bedroom/1 is turned on.
/Actuator/Light/LivingRoom/1 is turned off.
/Actuator/Light/LivingRoom/2 is turned off.
/Actuator/Light/Bedroom/1 is turned off.
/Actuator/Light/Bedroom/2 is turned off.
/Actuator/Light/Kitchen/1 is turned off.
/Actuator/Light/Bathroom/1 is turned off.
'/Sensor/LightIntensive/Bedroom/1' is now ON.
/Sensor/LightIntensive/Bedroom/1 reading is: 995.04
/Actuator/Curtain/LivingRoom/1 is turned on.
/Actuator/Curtain/Bedroom/1 is turned on.
/Actuator/Light/LivingRoom/1 is turned off.
/Actuator/Light/LivingRoom/2 is turned off.
/Actuator/Light/Bedroom/1 is turned off.
/Actuator/Light/Bedroom/2 is turned off.
/Actuator/Light/Kitchen/1 is turned off.
/Actuator/Light/Bathroom/1 is turned off.
'/Sensor/IndoorTemperature/LivingRoom/1' is now ON.
/Sensor/IndoorTemperature/LivingRoom/1 reading is: 35.26
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
'/Sensor/IndoorTemperature/Bedroom/1' is now ON.
/Sensor/IndoorTemperature/Bedroom/1 reading is: 34.46
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
'/Sensor/IndoorTemperature/Bathroom/1' is now ON.
/Sensor/IndoorTemperature/Bathroom/1 reading is: 33.85
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
'/Sensor/Humidity/LivingRoom/1' is now ON.
/Sensor/Humidity/LivingRoom/1 reading is: 12.54
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Bedroom/1' is now ON.
/Sensor/Humidity/Bedroom/1 reading is: 26.27
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Kitchen/1' is now ON.
/Sensor/Humidity/Kitchen/1 reading is: 20.43
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Bathroom/1' is now ON.
/Sensor/Humidity/Bathroom/1 reading is: 12.7
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/Humidity/Balcony/1' is now ON.
/Sensor/Humidity/Balcony/1 reading is: 28.53
/Actuator/Humidifier/LivingRoom/1 is turned on.
/Actuator/Humidifier/Bedroom/1 is turned on.
'/Sensor/LightIntensive/LivingRoom/1' is now ON.
/Sensor/LightIntensive/LivingRoom/1 reading is: 948.12
/Actuator/Curtain/LivingRoom/1 is turned on.
/Actuator/Curtain/Bedroom/1 is turned on.
/Actuator/Light/LivingRoom/1 is turned off.
/Actuator/Light/LivingRoom/2 is turned off.
/Actuator/Light/Bedroom/1 is turned off.
/Actuator/Light/Bedroom/2 is turned off.
/Actuator/Light/Kitchen/1 is turned off.
/Actuator/Light/Bathroom/1 is turned off.
'/Sensor/LightIntensive/Bedroom/1' is now ON.
/Sensor/LightIntensive/Bedroom/1 reading is: 1016.84
/Actuator/Curtain/LivingRoom/1 is turned on.
/Actuator/Curtain/Bedroom/1 is turned on.
/Actuator/Light/LivingRoom/1 is turned off.
/Actuator/Light/LivingRoom/2 is turned off.
/Actuator/Light/Bedroom/1 is turned off.
/Actuator/Light/Bedroom/2 is turned off.
/Actuator/Light/Kitchen/1 is turned off.
/Actuator/Light/Bathroom/1 is turned off.
'/Sensor/IndoorTemperature/LivingRoom/1' is now ON.
/Sensor/IndoorTemperature/LivingRoom/1 reading is: 31.77
/Actuator/AC/LivingRoom/1 is turned on.
/Actuator/AC/Bedroom/1 is turned on.
/Actuator/Window/LivingRoom/1 is turned off.
