Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,openai_gpt-4o-mini,auto_adapt,11,0.6667,No Error & Warning,['humidity control logic is incorrect'],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_11.log
,openai_gpt-4o-mini,auto_adapt,10,0.0000,Warning Exists,"[""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", ""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Light/LivingRoom/1 is || /Actuator/Light/LivingRoom/2 is', '/Actuator/AC/LivingRoom/1 is || /Actuator/Heater/LivingRoom/1 is', '/Actuator/Humidifier/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_10.log
,openai_gpt-4o-mini,auto_adapt,9,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_9.log
,openai_gpt-4o-mini,auto_adapt,12,0.8889,Warning Exists,['/Actuator/Humidifier/LivingRoom/1'],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_12.log
,openai_gpt-4o-mini,auto_adapt,13,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_13.log
,openai_gpt-4o-mini,auto_adapt,8,0.8000,No Error & Warning,"[""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:']",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_8.log
,openai_gpt-4o-mini,auto_adapt,17,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_17.log
,openai_gpt-4o-mini,auto_adapt,16,0.6667,Warning Exists,['cannot get sensor readings'],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_16.log
,openai_gpt-4o-mini,auto_adapt,14,0.0000,Warning Exists,"[""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", ""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 || /Actuator/Heater/LivingRoom/1', '/Actuator/Humidifier/LivingRoom/1', '/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2']",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_14.log
,openai_gpt-4o-mini,auto_adapt,15,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_15.log
,openai_gpt-4o-mini,auto_adapt,3,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_3.log
,openai_gpt-4o-mini,auto_adapt,18,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_18.log
,openai_gpt-4o-mini,auto_adapt,24,0.0000,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/Curtain/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_24.log
,openai_gpt-4o-mini,auto_adapt,25,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_25.log
,openai_gpt-4o-mini,auto_adapt,19,0.9000,Warning Exists,['/Actuator/Light/LivingRoom/2'],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_19.log
,openai_gpt-4o-mini,auto_adapt,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_2.log
,openai_gpt-4o-mini,auto_adapt,26,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_auto_adapt_26.log
