Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,openai_gpt-4o-mini,remote_control,13,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_13.log
,openai_gpt-4o-mini,remote_control,9,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_9.log
,openai_gpt-4o-mini,remote_control,8,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_8.log
,openai_gpt-4o-mini,remote_control,12,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_12.log
,openai_gpt-4o-mini,remote_control,10,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_10.log
,openai_gpt-4o-mini,remote_control,11,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_11.log
,openai_gpt-4o-mini,remote_control,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_15.log
,openai_gpt-4o-mini,remote_control,14,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_14.log
,openai_gpt-4o-mini,remote_control,16,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_16.log
,openai_gpt-4o-mini,remote_control,17,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_17.log
,openai_gpt-4o-mini,remote_control,26,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_26.log
,openai_gpt-4o-mini,remote_control,1,0.0000,Error,['function does not fit prompt'],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_1.log
,openai_gpt-4o-mini,remote_control,19,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_19.log
,openai_gpt-4o-mini,remote_control,25,0.6000,Warning Exists,"['Set /Actuator/Light/Bedroom/1 light brightness level to LOW', 'Set /Actuator/Light/Bedroom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_25.log
,openai_gpt-4o-mini,remote_control,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_3.log
,openai_gpt-4o-mini,remote_control,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_2.log
,openai_gpt-4o-mini,remote_control,24,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_24.log
,openai_gpt-4o-mini,remote_control,18,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_18.log
,openai_gpt-4o-mini,remote_control,20,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_20.log
,openai_gpt-4o-mini,remote_control,6,0.6667,No Error & Warning,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON.|| '/Sensor/IndoorTemperature/Bedroom/1' is now ON. || '/Sensor/IndoorTemperature/Bathroom/1' is now ON.""]",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_6.log
,openai_gpt-4o-mini,remote_control,7,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_7.log
,openai_gpt-4o-mini,remote_control,21,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_21.log
,openai_gpt-4o-mini,remote_control,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_23.log
,openai_gpt-4o-mini,remote_control,5,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_5.log
,openai_gpt-4o-mini,remote_control,4,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_4.log
,openai_gpt-4o-mini,remote_control,22,0.7778,No Error & Warning,"['/Actuator/Light/LivingRoom/2 is turned on.', '/Actuator/Light/Bedroom/2 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_en/4o-mini_en_functoins/openai_gpt-4o-mini_remote_control_22.log
