Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,copilot,auto_adapt,5,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_5.log
,copilot,auto_adapt,4,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_4.log
,copilot,auto_adapt,6,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_6.log
,copilot,auto_adapt,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_7.log
,copilot,auto_adapt,3,0.0000,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/Heater/LivingRoom/1 is || /Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', 'Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM']",/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_3.log
,copilot,auto_adapt,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_2.log
,copilot,auto_adapt,1,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_1.log
,copilot,auto_adapt,26,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_26.log
,copilot,auto_adapt,18,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_18.log
,copilot,auto_adapt,24,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_24.log
,copilot,auto_adapt,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_25.log
,copilot,auto_adapt,19,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_19.log
,copilot,auto_adapt,21,0.0000,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/Curtain/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_21.log
,copilot,auto_adapt,20,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/auto-adapt/copilot_auto_adapt_20.log
