Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,copilot,remote_control,19,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_19.log
,copilot,remote_control,25,0.6000,Warning Exists,"['Set /Actuator/Light/Bedroom/1 light brightness level to LOW', 'Set /Actuator/Light/Bedroom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_25.log
,copilot,remote_control,8,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_8.log
,copilot,remote_control,9,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_9.log
,copilot,remote_control,24,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_24.log
,copilot,remote_control,18,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_18.log
,copilot,remote_control,26,0.0000,Warning Exists,['Set /Actuator/Light/LivingRoom/1 light brightness level to || Set /Actuator/Light/LivingRoom/2 light brightness level to || Set /Actuator/Light/Bedroom/1 light brightness level to || Set /Actuator/Light/Bedroom/2 light brightness level to || Set /Actuator/Light/Kitchen/1 light brightness level to || Set /Actuator/Light/Bathroom/1 light brightness level to'],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_26.log
,copilot,remote_control,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_23.log
,copilot,remote_control,22,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_22.log
,copilot,remote_control,20,0.5000,No Error & Warning,['/Actuator/CleaningRobot/LivingRoom/1 || /Actuator/CleaningRobot/Bedroom/1'],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_20.log
,copilot,remote_control,21,0.8333,No Error & Warning,['/Actuator/CoffeeMachine/Kitchen/1'],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_21.log
,copilot,remote_control,10,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_10.log
,copilot,remote_control,1,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_1.log
,copilot,remote_control,11,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_11.log
,copilot,remote_control,13,0.0000,No Error & Warning,"['/Sensor/LightIntensive/LivingRoom/1 reading is: || /Sensor/LightIntensive/Bedroom/1 reading is:', '/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2 || /Actuator/Light/Bedroom/1 || /Actuator/Light/Bedroom/2 || /Actuator/Light/Kitchen/1 || /Actuator/Light/Bathroom/1', '/Sensor/IndoorTemperature/LivingRoom/1 reading is || /Sensor/IndoorTemperature/Bedroom/1 reading is || /Sensor/IndoorTemperature/Bathroom/1 reading is:', '/Actuator/AC/LivingRoom/1 is turned on. || /Actuator/AC/Bedroom/1 is turned on. || /Actuator/Heater/LivingRoom/1 is turned on. || /Actuator/Heater/Bedroom/1 is turned on. || /Actuator/Heater/Kitchen/1 || /Actuator/Heater/Bathroom/1', '/Actuator/Curtain/Bedroom/1 || /Actuator/Curtain/LivingRoom/1', '/Sensor/Humidity/LivingRoom/1 reading is: || /Sensor/Humidity/Bedroom/1 reading is: || /Sensor/Humidity/Kitchen/1 reading is: || /Sensor/Humidity/Bathroom/1 reading is: || /Sensor/Humidity/Balcony/1 reading is:', '/Actuator/Humidifier/LivingRoom/1 || /Actuator/Humidifier/Bedroom/1']",/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_13.log
,copilot,remote_control,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_2.log
,copilot,remote_control,3,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_3.log
,copilot,remote_control,12,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_12.log
,copilot,remote_control,16,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_16.log
,copilot,remote_control,7,0.0000,Warning Exists,['Set /Actuator/Light/Bedroom/1 light brightness level to LOW || Set /Actuator/Light/Bedroom/2 light brightness level to LOW'],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_7.log
,copilot,remote_control,6,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_6.log
,copilot,remote_control,17,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_17.log
,copilot,remote_control,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/copilot_en_functions/remote-control/copilot_remote_control_15.log
