Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,openai_gpt-4o,auto_adapt,15,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_15.log
,openai_gpt-4o,auto_adapt,14,0.8889,No Error & Warning,['/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_14.log
,openai_gpt-4o,auto_adapt,16,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_16.log
,openai_gpt-4o,auto_adapt,17,0.5000,No Error & Warning,['use one sensor reading to trigger all related devices'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_17.log
,openai_gpt-4o,auto_adapt,13,0.8889,No Error & Warning,['/Actuator/Light/LivingRoom/'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_13.log
,openai_gpt-4o,auto_adapt,12,0.5000,No Error & Warning,['use one sensor reading to trigger all related devices'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_12.log
,openai_gpt-4o,auto_adapt,8,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_8.log
,openai_gpt-4o,auto_adapt,10,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_10.log
,openai_gpt-4o,auto_adapt,11,0.5000,No Error & Warning,['use one sensor reading to trigger all related devices'],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_11.log
,openai_gpt-4o,auto_adapt,9,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_en/gpt-4o_en_functions/auto-adapt/openai_gpt-4o_auto_adapt_9.log
