Standard Output:
Activating sleep mode...
/Actuator/Light/LivingRoom/1 is turned off.
/Actuator/Light/LivingRoom/2 is turned off.
/Actuator/Light/Bedroom/1 is turned off.
/Actuator/Light/Bedroom/2 is turned off.
/Actuator/Light/Kitchen/1 is turned off.
/Actuator/Light/Bathroom/1 is turned off.
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.
/Actuator/MusicPlayer/LivingRoom/1 is turned off.
/Actuator/MusicPlayer/Bedroom/1 is turned off.
Activating wake up mode...
/Actuator/Light/Bedroom/1 is turned on.
/Actuator/Light/Bedroom/2 is turned on.
/Actuator/CoffeeMachine/Kitchen/1 is turned on.
/Actuator/CoffeeMachine/Kitchen/1 Start making Espresso
Activating lights off mode...
/Actuator/Light/LivingRoom/1 is turned off.
/Actuator/Light/LivingRoom/2 is turned off.
/Actuator/Light/Bedroom/1 is turned off.
/Actuator/Light/Bedroom/2 is turned off.
/Actuator/Light/Kitchen/1 is turned off.
/Actuator/Light/Bathroom/1 is turned off.
Activating window closing mode...
/Actuator/Window/LivingRoom/1 is turned off.
/Actuator/Window/LivingRoom/2 is turned off.
/Actuator/Window/Bedroom/1 is turned off.
/Actuator/Window/Kitchen/1 is turned off.
/Actuator/Window/Bathroom/1 is turned off.

Standard Error:

Return code: 0
