Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,llama3.1,plan,16,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_16.log
,llama3.1,plan,17,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_17.log
,llama3.1,plan,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_15.log
,llama3.1,plan,14,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_14.log
,llama3.1,plan,10,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_10.log
,llama3.1,plan,11,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_11.log
,llama3.1,plan,13,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_13.log
,llama3.1,plan,12,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_12.log
,llama3.1,plan,9,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_9.log
,llama3.1,plan,8,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_8.log
,llama3.1,plan,5,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_5.log
,llama3.1,plan,4,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_4.log
,llama3.1,plan,6,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_6.log
,llama3.1,plan,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_7.log
,llama3.1,plan,3,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_3.log
,llama3.1,plan,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_2.log
,llama3.1,plan,1,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_1.log
,llama3.1,plan,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_23.log
,llama3.1,plan,22,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_22.log
,llama3.1,plan,20,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_20.log
,llama3.1,plan,21,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_21.log
,llama3.1,plan,19,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_19.log
,llama3.1,plan,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_25.log
,llama3.1,plan,24,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_24.log
,llama3.1,plan,18,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_18.log
,llama3.1,plan,26,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_en/llama31_en_functions/llama3.1_plan_26.log
