Timestamp;Model Name;Task Name;User Answer Index;Success Rate (%);Error Status;Log File Path
;azure_gpt-35-turbo-16k;auto_adapt;1;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_1.log
;azure_gpt-35-turbo-16k;auto_adapt;2;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_2.log
;azure_gpt-35-turbo-16k;auto_adapt;3;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_3.log
;azure_gpt-35-turbo-16k;auto_adapt;4;0.00;No Error & Warning;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_4.log
;azure_gpt-35-turbo-16k;auto_adapt;5;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_5.log
;azure_gpt-35-turbo-16k;auto_adapt;6;0.00;No Error & Warning;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_6.log
;azure_gpt-35-turbo-16k;auto_adapt;7;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_7.log
;azure_gpt-35-turbo-16k;auto_adapt;8;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_8.log
;azure_gpt-35-turbo-16k;auto_adapt;9;0.33;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_9.log
;azure_gpt-35-turbo-16k;auto_adapt;10;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_10.log
;azure_gpt-35-turbo-16k;auto_adapt;11;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_11.log
;azure_gpt-35-turbo-16k;auto_adapt;12;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_12.log
;azure_gpt-35-turbo-16k;auto_adapt;13;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_13.log
;azure_gpt-35-turbo-16k;auto_adapt;14;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_14.log
;azure_gpt-35-turbo-16k;auto_adapt;15;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_15.log
;azure_gpt-35-turbo-16k;auto_adapt;16;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_16.log
;azure_gpt-35-turbo-16k;auto_adapt;17;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_17.log
;azure_gpt-35-turbo-16k;auto_adapt;18;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_18.log
;azure_gpt-35-turbo-16k;auto_adapt;19;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_19.log
;azure_gpt-35-turbo-16k;auto_adapt;20;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_20.log
;azure_gpt-35-turbo-16k;auto_adapt;21;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_21.log
;azure_gpt-35-turbo-16k;auto_adapt;22;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_22.log
;azure_gpt-35-turbo-16k;auto_adapt;23;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_23.log
;azure_gpt-35-turbo-16k;auto_adapt;24;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_24.log
;azure_gpt-35-turbo-16k;auto_adapt;25;0.00;Warning Exists;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_25.log
;azure_gpt-35-turbo-16k;auto_adapt;26;0.00;Error;/Users/minghe/llm4faas/experiments_default/functions_zh/azure_openai_gpt3516k_functions/azure_gpt-35-turbo-16k_auto_adapt_26.log
