Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,copilot,plan,4,0.8750,Warning Exists,['Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW || Set /Actuator/Light/Bedroom/1 light brightness level to LOW || Set /Actuator/Light/Bedroom/2 light brightness level to LOW || Set /Actuator/Light/Kitchen/1 light brightness level to LOW || Set /Actuator/Light/Bathroom/1 light brightness level to LOW'],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_4.log
,copilot,plan,5,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_5.log
,copilot,plan,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_7.log
,copilot,plan,6,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_6.log
,copilot,plan,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_2.log
,copilot,plan,3,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_3.log
,copilot,plan,1,0.9286,Warning Exists,['Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW'],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_1.log
,copilot,plan,20,0.8750,Warning Exists,"['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_20.log
,copilot,plan,21,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_21.log
,copilot,plan,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_23.log
,copilot,plan,22,0.0000,No Error & Warning,"['/Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on.', '/Actuator/Curtain/Bedroom/1', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/MusicPlayer/Bedroom/1 || /Actuator/MusicPlayer/LivingRoom/1', 'Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW', '/Actuator/Curtain/LivingRoom/1', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_22.log
,copilot,plan,26,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_26.log
,copilot,plan,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_25.log
,copilot,plan,19,0.0000,Error,['no function generated'],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_19.log
,copilot,plan,18,0.0000,Error,['not using provided code'],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_18.log
,copilot,plan,24,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_24.log
,copilot,plan,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_15.log
,copilot,plan,14,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_14.log
,copilot,plan,16,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_16.log
,copilot,plan,17,0.0000,Error,['no function generated'],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_17.log
,copilot,plan,13,0.2400,Warning Exists,"['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM || Set /Actuator/Light/Bedroom/1 light brightness level to MEDIUM || Set /Actuator/Light/Bedroom/2 light brightness level to MEDIUM', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', 'Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_13.log
,copilot,plan,12,0.9091,No Error & Warning,['/Actuator/Door/LivingRoom/1.'],/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_12.log
,copilot,plan,10,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_10.log
,copilot,plan,11,0.3333,No Error & Warning,"['/Actuator/Curtain/LivingRoom/1 is turned on. || /Actuator/Curtain/Bedroom/1 is turned on.', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_11.log
,copilot,plan,8,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_8.log
,copilot,plan,9,0.3333,No Error & Warning,"['/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Door/LivingRoom/1 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_zh/copilot_functions/plan/copilot_plan_9.log
