Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1738509941619828000,deepseek-r1:7b,energy_control,1,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_1_1738509941619828000.log
1738511344037444000,deepseek-r1:7b,energy_control,7,0.0000,No Error & Warning,"['/Sensor/OutdoorTemperature/Balcony/1 reading is:', '/Actuator/AC/LivingRoom/1 || /Actuator/AC/Bedroom/1', '/Actuator/Door/LivingRoom/1 is turned off. || /Actuator/Door/Bedroom/1 is turned off. || /Actuator/Door/Kitchen/1 is turned off. || /Actuator/Door/Bathroom/1 is turned off. || /Actuator/Door/Balcony/1 is turned off.', '/Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off. || /Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/Kitchen/1 is turned off. || /Actuator/Window/Bathroom/1 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_7_1738511344037444000.log
1738512840810329000,deepseek-r1:7b,energy_control,25,0.0000,No Error & Warning,"['/Actuator/Door/LivingRoom/1.', '/Actuator/Curtain/LivingRoom/1 is turned || /Actuator/Curtain/Bedroom/1 is turned', '/Actuator/MusicPlayer/LivingRoom/1 || /Actuator/MusicPlayer/Bedroom/1', '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/Window/LivingRoom/1 is turned on.', '/Actuator/Window/LivingRoom/1 is turned off.', '/Actuator/AC/LivingRoom/1 is turned on.', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 is turned on.', '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/SmartTV/LivingRoom/1 is turned on.', '/Actuator/MusicPlayer/LivingRoom/1 is turned off. || /Actuator/MusicPlayer/Bedroom/1 is turned off.', '/Actuator/Curtain/LivingRoom/1 is turned || /Actuator/Curtain/Bedroom/1 is turned', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_25_1738512840810329000.log
1738513741157596000,deepseek-r1:7b,energy_control,14,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_14_1738513741157596000.log
1738509733622878000,deepseek-r1:7b,energy_control,4,0.0000,No Error & Warning,['/Actuator/Window/Bedroom/1 is turned on. || /Actuator/Window/Bedroom/2 is turned on. || /Actuator/Window/LivingRoom/1 is turned on. || /Actuator/Window/LivingRoom/2 is turned on.'],/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_4_1738509733622878000.log
1738509837496205000,deepseek-r1:7b,energy_control,19,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_19_1738509837496205000.log
1738510179073514000,deepseek-r1:7b,energy_control,5,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_5_1738510179073514000.log
1738511107224861000,deepseek-r1:7b,energy_control,6,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_6_1738511107224861000.log
1738508440574871000,deepseek-r1:7b,energy_control,16,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_16_1738508440574871000.log
1738508277067843000,deepseek-r1:7b,energy_control,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_23_1738508277067843000.log
1738510958530132000,deepseek-r1:7b,energy_control,2,0.0000,No Error & Warning,"['/Sensor/LightIntensive/LivingRoom/1 reading is || /Sensor/LightIntensive/Bedroom/1 reading is', '/Actuator/AC/Bedroom/1 || /Actuator/AC/LivingRoom/1', '/Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off.', '/Actuator/Light/ || Set /Actuator/Light/', '/Actuator/MusicPlayer/LivingRoom/1 is turned off.', '/Actuator/SmartTV/LivingRoom/1 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_2_1738510958530132000.log
1738512977686282000,deepseek-r1:7b,energy_control,11,0.0000,No Error & Warning,"['/Sensor/IndoorTemperature/LivingRoom/1 reading is: || /Sensor/IndoorTemperature/Bedroom/1 reading is: || /Sensor/IndoorTemperature/Bathroom/1 reading is:', '/Actuator/Window/Bedroom/1 is turned on. || /Actuator/Window/LivingRoom/1 is turned on. || /Actuator/Window/LivingRoom/2 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/deepseek-r1-functions/deepseek-r1:7b_energy_control_11_1738512977686282000.log
