Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1722437557879167000,gemini,auto_adapt,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_25_1722437557879167000.log
1722437957703034000,gemini,auto_adapt,5,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_5_1722437957703034000.log
1722437540479675000,gemini,auto_adapt,11,0.0000,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", ""'/Sensor/Humidity/LivingRoom/1' is now ON."", ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1', '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_11_1722437540479675000.log
1722438048069159000,gemini,auto_adapt,13,0.0000,Warning Exists,"[""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", ""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 is || /Actuator/Heater/LivingRoom/1 is', '/Actuator/Humidifier/LivingRoom/1', '/Actuator/Light/LivingRoom/']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_13_1722438048069159000.log
1722438030400285000,gemini,auto_adapt,17,0.1111,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/Heater/LivingRoom/1 is || /Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_17_1722438030400285000.log
1722437583741491000,gemini,auto_adapt,15,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_15_1722437583741491000.log
1722438176455352000,gemini,auto_adapt,16,0.0000,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/Heater/LivingRoom/1 is || /Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_16_1722438176455352000.log
1722437809071389000,gemini,auto_adapt,6,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_6_1722437809071389000.log
1722437981657372000,gemini,auto_adapt,1,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_1_1722437981657372000.log
1722438077936648000,gemini,auto_adapt,12,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_12_1722438077936648000.log
1722437826175262000,gemini,auto_adapt,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_2_1722437826175262000.log
1722437566400571000,gemini,auto_adapt,21,0.0000,Warning Exists,"[""'/Sensor/IndoorTemperature/LivingRoom/1' is now ON."", '/Sensor/IndoorTemperature/LivingRoom/1 reading is:', '/Actuator/AC/LivingRoom/1 is', ""'/Sensor/Humidity/LivingRoom/1' is now ON."", '/Sensor/Humidity/LivingRoom/1 reading is:', '/Actuator/Humidifier/LivingRoom/1', ""'/Sensor/LightIntensive/LivingRoom/1' is now ON."", '/Sensor/LightIntensive/LivingRoom/1 reading is:', '/Actuator/Curtain/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_21_1722437566400571000.log
1722438159305317000,gemini,auto_adapt,22,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_22_1722438159305317000.log
1722437923597260000,gemini,auto_adapt,4,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_auto_adapt_4_1722437923597260000.log
