Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1722437005211803000,gemini,plan,24,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_24_1722437005211803000.log
1722437036745397000,gemini,plan,20,0.0000,No Error & Warning,"['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_20_1722437036745397000.log
1722437217550630000,gemini,plan,19,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_19_1722437217550630000.log
1722436897221471000,gemini,plan,9,0.0000,No Error & Warning,"['/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Door/LivingRoom/1 is turned off.', '/Actuator/SmartTV/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_9_1722436897221471000.log
1722436843146417000,gemini,plan,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_7_1722436843146417000.log
1722436867377613000,gemini,plan,6,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_6_1722436867377613000.log
1722437019984225000,gemini,plan,8,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_8_1722437019984225000.log
1722437150018805000,gemini,plan,16,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_16_1722437150018805000.log
1722436963979651000,gemini,plan,11,0.0000,No Error & Warning,"['/Actuator/Light/LivingRoom/1 is turned on. || /Actuator/Light/LivingRoom/2 is turned on. || /Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on. || /Actuator/Light/Kitchen/1 is turned on. || /Actuator/Light/Bathroom/1 is turned on.', '/Actuator/Curtain/LivingRoom/1 is turned on. || /Actuator/Curtain/Bedroom/1 is turned on.', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_11_1722436963979651000.log
1722436824673315000,gemini,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_3_1722436824673315000.log
1722437094259447000,gemini,plan,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_23_1722437094259447000.log
1722437201376129000,gemini,plan,5,0.125,No Error & Warning,"['/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_5_1722437201376129000.log
1722436909502191000,gemini,plan,21,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_21_1722436909502191000.log
1722437183716697000,gemini,plan,26,0.0909,Warning Exists,"['/Sensor/LightIntensiveSensor/LivingRoom/1 reading is: || /Sensor/LightIntensiveSensor/Bedroom/1 reading is:', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/MusicPlayer/LivingRoom/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', '/Actuator/Door/LivingRoom/1.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_26_1722437183716697000.log
1722436884965349000,gemini,plan,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_plan_2_1722436884965349000.log
