Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1722435378769092000,gemini,remote_control,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_15_1722435378769092000.log
1722435409354918000,gemini,remote_control,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_25_1722435409354918000.log
1722435490170734000,gemini,remote_control,1,0.6000,Warning Exists,"['Cleaning Robot /Actuator/CleaningRobot/LivingRoom/1 Starts Daily Cleaning Routine || Cleaning Robot /Actuator/CleaningRobot/Bedroom/1 Starts Daily Cleaning Routine', 'Set /Actuator/Light/Bedroom/1 light brightness level to || Set /Actuator/Light/Bedroom/2 light brightness level to']",/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_1_1722435490170734000.log
1722435512941317000,gemini,remote_control,6,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_6_1722435512941317000.log
1722435546210602000,gemini,remote_control,3,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_3_1722435546210602000.log
1722435682067690000,gemini,remote_control,17,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_17_1722435682067690000.log
1722435420283037000,gemini,remote_control,11,1.0000,Warning Exists,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_11_1722435420283037000.log
1722435362250236000,gemini,remote_control,20,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_20_1722435362250236000.log
1722435537704454000,gemini,remote_control,19,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_19_1722435537704454000.log
1722435580995021000,gemini,remote_control,16,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_16_1722435580995021000.log
1722435427194456000,gemini,remote_control,4,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_4_1722435427194456000.log
1722435529849227000,gemini,remote_control,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_2_1722435529849227000.log
1722435620552926000,gemini,remote_control,26,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_26_1722435620552926000.log
1722435696145608000,gemini,remote_control,23,0.5000,Warning Exists,['cannot get sensor readings but actuator part works well'],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_23_1722435696145608000.log
1722435472635965000,gemini,remote_control,5,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_5_1722435472635965000.log
1722435327618064000,gemini,remote_control,10,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_10_1722435327618064000.log
1722435343967106000,gemini,remote_control,14,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_14_1722435343967106000.log
1722435553124808000,gemini,remote_control,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_7_1722435553124808000.log
1722435517916470000,gemini,remote_control,18,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_18_1722435517916470000.log
1722435624973833000,gemini,remote_control,12,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_12_1722435624973833000.log
1722435676263510000,gemini,remote_control,9,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_9_1722435676263510000.log
1722435322363926000,gemini,remote_control,24,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_24_1722435322363926000.log
1722435597030709000,gemini,remote_control,22,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_22_1722435597030709000.log
1722435399142641000,gemini,remote_control,21,1.0000,Warning Exists,[],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_21_1722435399142641000.log
1722435649556814000,gemini,remote_control,13,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_13_1722435649556814000.log
1722435637903454000,gemini,remote_control,8,0.5000,Warning Exists,['/Actuator/AC/LivingRoom/1 is turned on. || /Actuator/AC/Bedroom/1 is turned on.'],/Users/minghe/llm4faas/experiments_default/functions_zh/gemini_functions/gemini_remote_control_8_1722435637903454000.log
