Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
,llama3.1,plan,16,0.0000,Error,"['/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2 || /Actuator/Light/Bedroom/1 || /Actuator/Light/Bedroom/2', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/Light/LivingRoom/1 || /Actuator/Light/LivingRoom/2']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_16.log
,llama3.1,plan,17,0.0000,Error,"['/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_17.log
,llama3.1,plan,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_15.log
,llama3.1,plan,14,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_14.log
,llama3.1,plan,10,0.0000,Error,"['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/Window/LivingRoom/1 is now off.', '/Actuator/Window/LivingRoom/2 is now off.', '/Actuator/Window/Bedroom/1 is now off.', '/Actuator/Window/Kitchen/1 is now off.', '/Actuator/Window/Bathroom/1 is now off.', '/Actuator/SmartTV/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_10.log
,llama3.1,plan,11,0.0000,Error,"['/Actuator/Light/LivingRoom/1 is turned on. || /Actuator/Light/LivingRoom/2 is turned on. || /Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on. || /Actuator/Light/Kitchen/1 is turned on. || /Actuator/Light/Bathroom/1 is turned on.', '/Actuator/Curtain/LivingRoom/1 is turned on. || /Actuator/Curtain/Bedroom/1 is turned on.', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_11.log
,llama3.1,plan,13,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_13.log
,llama3.1,plan,12,0.0000,Error,"['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/MusicPlayer/LivingRoom/1 is now on. || /Actuator/MusicPlayer/Bedroom/1', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Door/LivingRoom/1.', '/Actuator/Light/LivingRoom/1', '/Actuator/Light/Bedroom/1', '/Actuator/Light/Bedroom/2', '/Actuator/Light/Kitchen/1', '/Actuator/Light/Bathroom/1', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/SmartTV/LivingRoom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_12.log
,llama3.1,plan,9,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_9.log
,llama3.1,plan,8,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_8.log
,llama3.1,plan,5,0.0000,Error,"['/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1']",/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_5.log
,llama3.1,plan,4,0.0000,Error,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_4.log
,llama3.1,plan,6,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_default/functions_zh/llama31_functions/llama3.1_plan_6.log
