Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1731077020498748000,ali_qwen-max-0919,plan,12,0.4545,No Error & Warning,"['/Actuator/MusicPlayer/LivingRoom/1 is now on. || /Actuator/MusicPlayer/Bedroom/1', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/Bedroom/1', '/Actuator/Light/Bedroom/2', '/Actuator/Light/Kitchen/1', '/Actuator/Light/Bathroom/1']",/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_12_1731077020498748000.log
1731075858460315000,ali_qwen-max-0919,plan,3,0.8889,No Error & Warning,['/Actuator/SmartTV/LivingRoom/1'],/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_3_1731075858460315000.log
1731076505379174000,ali_qwen-max-0919,plan,24,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_24_1731076505379174000.log
1731076443651967000,ali_qwen-max-0919,plan,10,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_10_1731076443651967000.log
1731076973336142000,ali_qwen-max-0919,plan,16,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_16_1731076973336142000.log
1731076396303375000,ali_qwen-max-0919,plan,25,0.9259,Warning Exists,"['/Actuator/CoffeeMachine/Kitchen/1', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_25_1731076396303375000.log
1731077127503999000,ali_qwen-max-0919,plan,5,0.8750,No Error & Warning,['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1'],/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_5_1731077127503999000.log
1731076702238472000,ali_qwen-max-0919,plan,14,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_14_1731076702238472000.log
1731076862800064000,ali_qwen-max-0919,plan,17,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_17_1731076862800064000.log
1731076910649316000,ali_qwen-max-0919,plan,22,0.0000,No Error & Warning,"['/Actuator/Light/Bedroom/1 is turned on. || /Actuator/Light/Bedroom/2 is turned on.', '/Actuator/Curtain/Bedroom/1', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/MusicPlayer/Bedroom/1 || /Actuator/MusicPlayer/LivingRoom/1', 'Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW', '/Actuator/Curtain/LivingRoom/1', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_mandarin/ali_tongyi_functions/plans/ali_qwen-max-0919_plan_22_1731076910649316000.log
