Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1731496363705645000,zhipu_ernie-4.0-turbo-8k,energy_control,9,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_9_1731496363705645000.log
1731494769771426000,zhipu_ernie-4.0-turbo-8k,energy_control,22,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_22_1731494769771426000.log
1731495603530055000,zhipu_ernie-4.0-turbo-8k,energy_control,7,0.0000,Warning Exists,"['/Sensor/OutdoorTemperature/Balcony/1 reading is:', '/Actuator/AC/LivingRoom/1 || /Actuator/AC/Bedroom/1', '/Actuator/Door/LivingRoom/1 is turned off. || /Actuator/Door/Bedroom/1 is turned off. || /Actuator/Door/Kitchen/1 is turned off. || /Actuator/Door/Bathroom/1 is turned off. || /Actuator/Door/Balcony/1 is turned off.', '/Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off. || /Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/Kitchen/1 is turned off. || /Actuator/Window/Bathroom/1 is turned off.']",/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_7_1731495603530055000.log
1731494207496476000,zhipu_ernie-4.0-turbo-8k,energy_control,17,0.0000,Manual Check Required,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_17_1731494207496476000.log
1731496062143196000,zhipu_ernie-4.0-turbo-8k,energy_control,25,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_25_1731496062143196000.log
1731495289870383000,zhipu_ernie-4.0-turbo-8k,energy_control,5,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_5_1731495289870383000.log
1731494860397198000,zhipu_ernie-4.0-turbo-8k,energy_control,26,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_26_1731494860397198000.log
1731495434975296000,zhipu_ernie-4.0-turbo-8k,energy_control,2,0.1667,Warning Exists,"['/Sensor/LightIntensive/LivingRoom/1 reading is || /Sensor/LightIntensive/Bedroom/1 reading is', '/Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off.', '/Actuator/Light/ || Set /Actuator/Light/', '/Actuator/MusicPlayer/LivingRoom/1 is turned off.', '/Actuator/SmartTV/LivingRoom/1 is turned off.']",/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_2_1731495434975296000.log
1731495681255243000,zhipu_ernie-4.0-turbo-8k,energy_control,3,0.5000,No Error & Warning,['/Actuator/AC/Bedroom/1 || /Actuator/AC/LivingRoom/1'],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_3_1731495681255243000.log
1731495177416924000,zhipu_ernie-4.0-turbo-8k,energy_control,1,0.0000,Warning Exists,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/energy/zhipu_ernie-4.0-turbo-8k_energy_control_1_1731495177416924000.log
