Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1731072273517696000,zhipu_ernie-4.0-turbo-8k,plan,18,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_18_1731072273517696000.log
1731071596884121000,zhipu_ernie-4.0-turbo-8k,plan,22,0.8333,No Error & Warning,"['/Actuator/CoffeeMachine/Kitchen/1','Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_22_1731071596884121000.log
1731071313220641000,zhipu_ernie-4.0-turbo-8k,plan,13,0.0000,No Error & Warning,"['Set /Actuator/Light/LivingRoom/1 light brightness level to MEDIUM || Set /Actuator/Light/LivingRoom/2 light brightness level to MEDIUM || Set /Actuator/Light/Bedroom/1 light brightness level to MEDIUM || Set /Actuator/Light/Bedroom/2 light brightness level to MEDIUM', '/Actuator/Curtain/LivingRoom/1 is turned on.', '/Actuator/MusicPlayer/LivingRoom/1 || /Actuator/MusicPlayer/Bedroom/1', '/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', 'Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/Curtain/LivingRoom/1', '/Actuator/Curtain/Bedroom/1', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', '/Actuator/SmartTV/LivingRoom/1 is turned on.']",/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_13_1731071313220641000.log
1731070985247665000,zhipu_ernie-4.0-turbo-8k,plan,8,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_8_1731070985247665000.log
1731070370580569000,zhipu_ernie-4.0-turbo-8k,plan,21,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_21_1731070370580569000.log
1731069916570979000,zhipu_ernie-4.0-turbo-8k,plan,7,0.9000,No Error & Warning,"['/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_7_1731069916570979000.log
1731069800038106000,zhipu_ernie-4.0-turbo-8k,plan,3,0.8889,No Error & Warning,['/Actuator/SmartTV/LivingRoom/1'],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_3_1731069800038106000.log
1731070257777072000,zhipu_ernie-4.0-turbo-8k,plan,9,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_9_1731070257777072000.log
1731071896215483000,zhipu_ernie-4.0-turbo-8k,plan,26,0.9091,Warning Exists,"['/Actuator/CoffeeMachine/Kitchen/1', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_26_1731071896215483000.log
1731071769224581000,zhipu_ernie-4.0-turbo-8k,plan,12,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/plans/zhipu_ernie-4.0-turbo-8k_plan_12_1731071769224581000.log
