Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1731492988463840000,zhipu_ernie-4.0-turbo-8k,remote_control,26,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_26_1731492988463840000.log
1731492458957337000,zhipu_ernie-4.0-turbo-8k,remote_control,1,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_1_1731492458957337000.log
1731493373178464000,zhipu_ernie-4.0-turbo-8k,remote_control,17,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_17_1731493373178464000.log
1731491986634937000,zhipu_ernie-4.0-turbo-8k,remote_control,15,0.0000,Invalid Prompt,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_15_1731491986634937000.log
1731493488727826000,zhipu_ernie-4.0-turbo-8k,remote_control,23,0.0000,Error,,/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_23_1731493488727826000.log
1731492631025226000,zhipu_ernie-4.0-turbo-8k,remote_control,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_2_1731492631025226000.log
1731492209764016000,zhipu_ernie-4.0-turbo-8k,remote_control,11,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_11_1731492209764016000.log
1731492909166505000,zhipu_ernie-4.0-turbo-8k,remote_control,22,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_22_1731492909166505000.log
1731493113308831000,zhipu_ernie-4.0-turbo-8k,remote_control,8,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_8_1731493113308831000.log
1731492768933969000,zhipu_ernie-4.0-turbo-8k,remote_control,7,0.0000,Warning Exists,['Set /Actuator/Light/Bedroom/1 light brightness level to LOW || Set /Actuator/Light/Bedroom/2 light brightness level to LOW'],/Users/minghe/llm4faas/experiments_mandarin/baidu_functions/remote_control/zhipu_ernie-4.0-turbo-8k_remote_control_7_1731492768933969000.log
