Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1734797899168911000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734797899168911000.log
1734798937120687000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734798937120687000.log
1734796795947215000,openai_gpt-4o,plan,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734796795947215000.log
1734796035047956000,openai_gpt-4o,plan,7,0.4500,No Error & Warning,"['/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734796035047956000.log
1734798306747093000,openai_gpt-4o,plan,2,0.8500,No Error & Warning,"['/Actuator/CoffeeMachine/Kitchen/1', 'Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/SmartSocket/Kitchen/1 is turned off. || /Actuator/SmartSocket/Kitchen/2 is turned off. || /Actuator/SmartSocket/Kitchen/3 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734798306747093000.log
1734798586654285000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734798586654285000.log
1734798244122709000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734798244122709000.log
1734796758258773000,openai_gpt-4o,plan,3,0.8889,No Error & Warning,['/Actuator/SmartTV/LivingRoom/1'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734796758258773000.log
1734796418269046000,openai_gpt-4o,plan,7,0.0500,Timeout,"['/Actuator/CoffeeMachine/Kitchen/1', 'Lock the door /Actuator/Door/LivingRoom/1. || Lock the door /Actuator/Door/Bedroom/1. || Lock the door /Actuator/Door/Kitchen/1. || Lock the door /Actuator/Door/Bathroom/1. || Lock the door /Actuator/Door/Balcony/1.', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734796418269046000.log
1734798651168406000,openai_gpt-4o,plan,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734798651168406000.log
1734798968613929000,openai_gpt-4o,plan,7,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734798968613929000.log
1734795310344467000,openai_gpt-4o,plan,2,0.9500,No Error & Warning,['Lock the door /Actuator/Door/LivingRoom/1.'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734795310344467000.log
1734798621563066000,openai_gpt-4o,plan,7,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734798621563066000.log
1734794793341056000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734794793341056000.log
1734797961388986000,openai_gpt-4o,plan,2,0.9500,No Error & Warning,['Lock the door /Actuator/Door/LivingRoom/1.'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734797961388986000.log
1734796462460005000,openai_gpt-4o,plan,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734796462460005000.log
1734795989581122000,openai_gpt-4o,plan,3,0.8889,No Error & Warning,['/Actuator/SmartTV/LivingRoom/1'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734795989581122000.log
1734797176804218000,openai_gpt-4o,plan,7,0.4000,No Error & Warning,"['/Actuator/CoffeeMachine/Kitchen/1', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734797176804218000.log
1734796854546802000,openai_gpt-4o,plan,2,0.9500,No Error & Warning,['Lock the door /Actuator/Door/LivingRoom/1.'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734796854546802000.log
1734796381688580000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734796381688580000.log
1734797932004594000,openai_gpt-4o,plan,7,0.0000,Timeout,"['/Actuator/MusicPlayer/LivingRoom/1 is turned on. || /Actuator/MusicPlayer/Bedroom/1 is turned on.', '/Actuator/CoffeeMachine/Kitchen/1', 'Lock the door /Actuator/Door/LivingRoom/1. || Lock the door /Actuator/Door/Bedroom/1. || Lock the door /Actuator/Door/Kitchen/1. || Lock the door /Actuator/Door/Bathroom/1. || Lock the door /Actuator/Door/Balcony/1.', '/Actuator/Light/LivingRoom/1 is turned off.', '/Actuator/Light/LivingRoom/2 is turned off.', '/Actuator/Light/Bedroom/1 is turned off.', '/Actuator/Light/Bedroom/2 is turned off.', '/Actuator/Light/Kitchen/1 is turned off.', '/Actuator/Light/Bathroom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/1 is turned off.', '/Actuator/SmartSocket/LivingRoom/2 is turned off.', '/Actuator/SmartSocket/Bedroom/1 is turned off.', '/Actuator/SmartSocket/Bedroom/2 is turned off.', '/Actuator/SmartSocket/Kitchen/1 is turned off.', '/Actuator/SmartSocket/Kitchen/2 is turned off.', '/Actuator/SmartSocket/Kitchen/3 is turned off.', '/Actuator/SmartSocket/Bathroom/1 is turned off.', '/Actuator/SmartSocket/Bathroom/2 is turned off.', '/Actuator/Curtain/LivingRoom/1 || /Actuator/Curtain/Bedroom/1', 'Set /Actuator/Light/LivingRoom/1 light brightness level to LOW || Set /Actuator/Light/LivingRoom/2 light brightness level to LOW']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_7_1734797932004594000.log
1734795214497145000,openai_gpt-4o,plan,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_3_1734795214497145000.log
1734794879910977000,openai_gpt-4o,plan,2,0.9000,No Error & Warning,"['Lock the door /Actuator/Door/LivingRoom/1.', '/Actuator/SmartSocket/Kitchen/1 is turned off. || /Actuator/SmartSocket/Kitchen/2 is turned off. || /Actuator/SmartSocket/Kitchen/3 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734794879910977000.log
1734798998253390000,openai_gpt-4o,plan,2,0.9500,No Error & Warning,['Lock the door /Actuator/Door/LivingRoom/1.'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734798998253390000.log
1734797209871378000,openai_gpt-4o,plan,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions/openai_gpt-4o_plan_2_1734797209871378000.log
