Timestamp,Model Name,Task Name,User Answer Index,Success Rate (%),Error Status,Unmatched Lines,Log File Path
1737407740299181000,openai_gpt-4o-mini,energy_control,2,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_2_1737407740299181000.log
1737407858395721000,openai_gpt-4o-mini,energy_control,3,0.0000,Error,,/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_3_1737407858395721000.log
1737408960538517000,openai_gpt-4o-mini,energy_control,3,0.5000,Warning Exists,['/Actuator/AC/Bedroom/1 || /Actuator/AC/LivingRoom/1'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_3_1737408960538517000.log
1737410087718787000,openai_gpt-4o-mini,energy_control,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_3_1737410087718787000.log
1737410398401627000,openai_gpt-4o-mini,energy_control,7,0.0000,No Error & Warning,"['/Sensor/OutdoorTemperature/Balcony/1 reading is:', '/Actuator/AC/LivingRoom/1 || /Actuator/AC/Bedroom/1', '/Actuator/Door/LivingRoom/1 is turned off. || /Actuator/Door/Bedroom/1 is turned off. || /Actuator/Door/Kitchen/1 is turned off. || /Actuator/Door/Bathroom/1 is turned off. || /Actuator/Door/Balcony/1 is turned off.', '/Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off. || /Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/Kitchen/1 is turned off. || /Actuator/Window/Bathroom/1 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_7_1737410398401627000.log
1737410032525524000,openai_gpt-4o-mini,energy_control,7,0.2500,Warning Exists,"['/Sensor/OutdoorTemperature/Balcony/1 reading is:', '/Actuator/Door/LivingRoom/1 is turned off. || /Actuator/Door/Bedroom/1 is turned off. || /Actuator/Door/Kitchen/1 is turned off. || /Actuator/Door/Bathroom/1 is turned off. || /Actuator/Door/Balcony/1 is turned off.', '/Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off. || /Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/Kitchen/1 is turned off. || /Actuator/Window/Bathroom/1 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_7_1737410032525524000.log
1737410709668064000,openai_gpt-4o-mini,energy_control,2,0.6667,Warning Exists,"['/Sensor/LightIntensive/LivingRoom/1 reading is || /Sensor/LightIntensive/Bedroom/1 reading is', '/Actuator/Light/ || Set /Actuator/Light/']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_2_1737410709668064000.log
1737409650776822000,openai_gpt-4o-mini,energy_control,7,0.5000,No Error & Warning,"['/Sensor/OutdoorTemperature/Balcony/1 reading is:', '/Actuator/Door/LivingRoom/1 is turned off. || /Actuator/Door/Bedroom/1 is turned off. || /Actuator/Door/Kitchen/1 is turned off. || /Actuator/Door/Bathroom/1 is turned off. || /Actuator/Door/Balcony/1 is turned off.']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_7_1737409650776822000.log
1737409274253630000,openai_gpt-4o-mini,energy_control,7,0.0000,Error,,/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_7_1737409274253630000.log
1737407480332106000,openai_gpt-4o-mini,energy_control,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_3_1737407480332106000.log
1737409972210142000,openai_gpt-4o-mini,energy_control,2,0.3333,Warning Exists,"['/Sensor/LightIntensive/LivingRoom/1 reading is || /Sensor/LightIntensive/Bedroom/1 reading is', '/Actuator/AC/Bedroom/1 || /Actuator/AC/LivingRoom/1', '/Actuator/Window/Bedroom/1 is turned off. || /Actuator/Window/LivingRoom/1 is turned off. || /Actuator/Window/LivingRoom/2 is turned off.', '/Actuator/Light/ || Set /Actuator/Light/']",/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_2_1737409972210142000.log
1737407425613557000,openai_gpt-4o-mini,energy_control,7,0.7500,Warning Exists,['/Sensor/OutdoorTemperature/Balcony/1 reading is:'],/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_7_1737407425613557000.log
1737408104314685000,openai_gpt-4o-mini,energy_control,2,0.0000,Error,,/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_2_1737408104314685000.log
1737409328011716000,openai_gpt-4o-mini,energy_control,3,1.0000,No Error & Warning,[],/Users/minghe/llm4faas/experiments_repeat/repeat_functions_4o-mini/openai_gpt-4o-mini_energy_control_3_1737409328011716000.log
